timeStamp,Elance
1351133492,2
1351219877,16
1351306262,13
1351392645,6
1351479130,9
1351565448,17
1351651822,12
1351738240,8
1351824659,12
1351911048,11
1351997395,6
1352083785,15
1352170285,15
1352256576,16
1352343088,22
1352429978,17
1352515839,6
1352602792,8
1352688553,7
1352774964,12
1352861433,10
1352948355,12
1353034754,18
1353120591,22
1353207541,13
1353293404,13
1353380371,14
1353466760,21
1353552555,21
1353639599,13
1353725390,14
1353812337,10
1353898784,9
1353985110,19
1354071599,16
1354157922,16
1354244374,14
1354330781,9
1354417193,15
1354503567,16
1354589905,19
1354676333,14
1354762683,15
1354849120,16
1354935517,11
1355021861,12
1355108265,12
1355194699,19
1355281098,19
1355367548,15
1355453949,11
1355540298,7
1355626709,9
1355713086,17
1355799444,23
1355885974,11
1355972319,13
1356058744,11
1356145073,10
1356231442,8
1356317864,13
1356404236,9
1356490661,9
1356577048,11
1356663474,11
1356749834,8
1356836276,5
1356922643,6
1357008994,11
1357095413,12
1357181860,11
1357268287,13
1357354597,13
1357440981,12
1357527594,14
1357565766,7
1357872999,4
1357959397,12
1358045733,14
1358132256,15
1358218552,16
1358304989,22
1358391454,11
1358477840,18
1358564155,14
1358650585,7
1358736964,9
1358823335,16
1358909781,17
1358996104,22
1359082521,17
1359168958,14
1359255316,11
1359341782,11
1359428220,18
1359514560,20
1359600963,13
1359687347,22
1359773771,17
1359860195,11
1359946477,13
1360032959,16
1360119288,26
1360205730,16
1360292194,24
1360378504,13
1360464885,15
1360551281,22
1360637678,18
1360724175,17
1360810583,15
1360896896,11
1360983338,24
1361069703,18
1361156033,14
1361242518,14
1361328832,19
1361415295,15
1361501700,21
1361588189,16
1361674429,20
1361760928,17
1361847303,17
1361933625,27
1362020018,27
1362095789,16