timesTamp,Elance
1351114699,112952
1351164557,113099
1351214603,113324
1351264662,113351
1351327666,113520
1351374053,113605
1351420534,113666
1351466983,113666
1351513485,112486
1351560246,112705
1351606835,112766
1351653504,112916
1351700119,112983
1351747683,113156
1351794461,113242
1351841294,113350
1351888028,113504
1351934865,113636
1351981472,113712
1352028114,113800
1352074702,113800
1352121387,112711
1352168322,112945
1352215066,112987
1352261930,113209
1352308748,113132
1352355335,113358
1352402078,113473
1352448617,113576
1352495234,113704
1352541958,113784
1352593868,113862
1352640790,113933
1352687375,113933
1352734062,112850
1352780793,112997
1352827532,113002
1352874209,113208
1352925035,113343
1352971681,113443
1353018262,113528
1353065072,113637
1353111766,113720
1353158484,113785
1353204950,113904
1353251507,113904
1353297926,113904
1353344651,112792
1353391251,112968
1353438044,113115
1353484626,113217
1353531261,113341
1353578121,113415
1353628747,113512
1353684595,113602
1353731225,113718
1353778132,113745
1353824553,113885
1353870924,113885
1353917542,113012
1353964593,113088
1354011109,113215
1354057656,113394
1354104282,113553
1354150941,113647
1354197733,113813
1354244374,114013
1354291992,114028
1354339360,114231
1354386366,114287
1354433105,114349
1354479719,114349
1354526573,114004
1354587543,114234
1354636046,114271
1354682864,114425
1354729792,114435
1354776416,114565
1354823332,114629
1354870148,114699
1354916841,114781
1354963706,114855
1355010463,114905
1355057375,114959
1355104108,114959
1355150893,113664
1355197678,113922
1355244704,113992
1355291628,114209
1355338532,114323
1355385537,114387
1355432493,114573
1355479810,114757
1355526657,114847
1355590697,114933
1355640617,115067
1355687317,115067
1355734090,114188
1355780835,114287
1355827606,114445
1355874402,114541
1355921342,114700
1355968101,114782
1356015105,114889
1356061854,115048
1356108963,115074
1356155740,115225
1356202712,115302
1356249410,115342
1356295862,115342
1356342654,114525
1356389268,114528
1356435723,114583
1356482227,114624
1356529029,114671
1356591620,114732
1356642333,114796
1356689164,114854
1356735805,114913
1356782728,114945
1356829297,114994
1356875918,115047
1356922372,115047
1356969104,114323
1357015562,114525
1357062066,114509
1357108611,114670
1357155310,114776
1357202322,114933
1357248993,115079
1357295642,115223
1357342934,115350
1357389996,115478
1357438260,115654
1357484908,115654
1357547645,113392
1357863627,114501
1357910827,114664
1357958997,114876
1358005711,114861
1358052179,115013
1358100344,115013
1358148177,113892
1358194714,114019
1358243545,114156
1358291155,114232
1358338704,114395
1358388416,114629
1358435707,114707
1358484454,114969
1358531450,115021
1358579906,115239
1358627178,115366
1358673955,115443
1358722201,115443
1358769019,114366
1358815914,114504
1358862683,114719
1358915304,115007
1358976919,115178
1359024420,115366
1359071285,115473
1359118185,115584
1359165047,115714
1359211788,115842
1359258283,115977
1359304978,115977
1359351662,114731
1359398532,114812
1359456234,115027
1359502997,115153
1359549963,115388
1359596844,115515
1359644165,115671
1359690986,115929
1359737883,115950
1359784722,116226
1359831857,116352
1359896476,116459
1359943881,116459
1359990765,115098
1360037501,115425
1360086362,115492
1360141860,115793
1360188693,115986
1360235751,116216
1360282663,116357
1360329578,116570
1360376401,116812
1360423378,116841
1360470061,117024
1360516926,117024
1360563608,115736
1360610686,115903
1360658249,116080
1360708094,116254
1360829312,117034
1360876783,117228
1360925057,117376
1360973695,117480
1361022106,117634
1361070369,117824
1361118393,117824
1361166471,117824
1361215270,116931
1361263806,117114
1361312501,117306
1361361209,117645
1361410012,117796
1361458530,118206
1361521112,118611
1361580044,118962
1361632768,119127
1361680951,119322
1361729358,119322
1361778084,118207
1361827020,118321
1361876383,118587
1361926782,118719
1361976641,118958
1362026896,119257
1362084795,119362